id,department,work_hours,performance_score
1,Ward,10,37
2,OPD,9,106
3,ER,9,1
4,Ward,10,37
5,Ward,10,26
6,OPD,8,33
7,ER,,4
8,ER,10,32
9,Ward,,76
10,ICU,10,59
11,Ward,10,35
12,Ward,9,97
13,Ward,,112
14,Ward,10,10
15,OPD,8,96
16,ER,8,69
17,OPD,9,36
18,OPD,10,106
19,OPD,,113
20,Ward,8,14
21,ICU,9,25
22,ER,9,40
23,ICU,,4
24,OPD,10,57
25,OPD,10,10
26,ICU,9,8
27,ICU,9,23
28,ICU,8,67
29,OPD,8,114
30,OPD,10,106
31,ER,10,41
32,ER,,16
33,OPD,,24
34,ICU,9,95
35,ICU,10,-9
36,ER,,66
37,OPD,10,79
38,ER,8,78
39,ER,9,83
40,Ward,8,-4
41,Ward,,84
42,Ward,10,97
43,ICU,8,63
44,OPD,10,28
45,OPD,10,60
46,OPD,9,45
47,OPD,8,31
48,Ward,10,25
49,ICU,9,73
50,ICU,10,107
51,Ward,9,-4
52,ICU,10,43
53,Ward,9,118
54,OPD,9,109
55,Ward,10,95
56,OPD,9,36
57,OPD,8,112
58,ER,8,108
59,Ward,10,107
60,ER,10,10
61,Ward,10,15
62,Ward,8,-2
63,ER,8,4
64,ER,8,-1
65,Ward,9,111
66,ICU,9,110
67,OPD,9,114
68,ER,9,61
69,OPD,,38
70,ICU,9,80
71,ICU,9,26
72,ICU,10,57
73,ER,9,39
74,ICU,10,8
75,ER,10,89
76,ICU,,49
77,OPD,8,78
78,OPD,,58
79,Ward,9,38
80,OPD,8,97
81,Ward,9,108
82,OPD,,26
83,ER,9,0
84,OPD,9,67
85,Ward,10,66
86,Ward,8,-9
87,ICU,8,53
88,ER,8,24
89,OPD,8,-4
90,ICU,8,74
91,OPD,8,56
92,OPD,10,31
93,ICU,8,107
94,ICU,9,114
95,ICU,10,13
96,ICU,9,35
97,ICU,10,8
98,OPD,8,57
99,ICU,8,91
100,ER,8,31
101,Ward,8,21
102,ICU,8,98
103,ICU,8,25
104,OPD,8,86
105,ICU,8,62
106,ICU,9,86
107,ICU,8,112
108,OPD,9,59
109,ICU,9,2
110,Ward,10,38
111,OPD,8,49
112,Ward,10,119
113,OPD,10,-6
114,ICU,8,16
115,Ward,10,-3
116,OPD,,39
117,ER,8,56
118,ICU,8,33
119,OPD,10,114
120,ER,10,47
121,OPD,8,-8
122,ER,8,75
123,ICU,9,59
124,Ward,9,119
125,ER,10,-9
126,OPD,9,91
127,ICU,9,24
128,ER,10,87
129,OPD,8,19
130,OPD,8,105
131,OPD,10,-3
132,ER,10,33
133,ER,9,25
134,ER,9,66
135,Ward,8,20
136,ER,9,36
137,ER,9,44
138,ER,8,95
139,Ward,8,110
140,ER,9,44
141,OPD,8,1
142,ER,9,-8
143,OPD,8,19
144,OPD,9,12
145,OPD,8,81
146,Ward,10,104
147,Ward,9,93
148,Ward,10,107
149,ER,10,-6
150,OPD,9,93
151,Ward,8,97
